date,route,time,day,location,incident,min_delay,min_gap,direction,vehicle
2023-02-02,125,00:00:00,Thursday,FINCH STATION,Mechanical,30,60,N,8134
2023-02-13,96,00:00:00,Monday,YORK MILLS STATION,Utilized Off Route,10,20,W,8942
2023-02-25,21,00:00:00,Saturday,BRIMLEY AND STEELES,Security,30,60,N,3435
2023-03-03,102,00:00:00,Friday,MARKHAM AND EGLINTON,General Delay,13,25,N,3425
2023-03-18,35,00:00:00,Saturday,JANE AND TRETHEWAY,Mechanical,9,17,S,1127
2023-04-20,45,00:00:00,Thursday,KIPLING AND BEACONHILL,Mechanical,10,20,N,1107
2023-05-01,52,00:00:00,Monday,LAWRENCE AND CALEDONIA,Security,20,40,E,9211
2023-05-03,47,00:00:00,Wednesday,LANSDOWNE AND QUEEN,General Delay,24,48,S,8205
2023-05-05,47,00:00:00,Friday,LANSDOWNE AND QUEEN,General Delay,20,40,S,8376
2023-06-08,14,00:00:00,Thursday,GLENCAIRN AND LANSDOWN,Mechanical,30,60,E,1325
2023-06-08,20,00:00:00,Thursday,PARK ST. AND MIDLAND A,Cleaning - Unsanitary,28,56,E,8498
2023-06-10,54,00:00:00,Saturday,LAWRENCE AND DON MILLS,General Delay,20,40,E,8692
2023-07-03,98,00:00:00,Monday,STEELES AND YONGE,Mechanical,30,30,W,8206
2023-07-04,94,00:00:00,Tuesday,OSSINGTOON STATION,Diversion,33,22,W,8445
2023-07-30,36,00:00:00,Sunday,FINCH STATION,Operations - Operator,0,0,NA,3557
2023-08-03,132,00:00:00,Thursday,SCARBOROUGH CENTER STA,Mechanical,20,40,E,3478
2023-08-06,165,00:00:00,Sunday,WILSON AND AVENUE,Emergency Services,10,20,E,8949
2023-08-09,45,00:00:00,Wednesday,KIPLING STATION,Mechanical,10,20,N,1011
2023-09-04,32,00:00:00,Monday,EGLINTON AND ISLINGTON,Diversion,102,114,W,1281
2023-09-07,29,00:00:00,Thursday,DUFFERIN AND JANE OSLE,Investigation,10,20,S,1132
2023-09-10,59,00:00:00,Sunday,SHEFFIELD AND INGRAM,Diversion,70,100,W,7121
2023-09-11,36,00:00:00,Monday,FINCH STATION,Emergency Services,10,20,N,9107
2023-09-11,73,00:00:00,Monday,4300 EGLINTON AVENUE W,Cleaning - Unsanitary,24,48,W,8049
2023-09-28,62,00:00:00,Thursday,ST CLAIR AND O'CONNER,General Delay,20,40,W,8551
2023-10-22,7,00:00:00,Sunday,BATHURST AND ALCINA,Operations - Operator,10,20,S,8334
2023-12-16,112,00:00:00,Saturday,ERINGATE AND WELLESWOR,Mechanical,30,60,S,8123
2023-04-10,24,00:01:00,Monday,VICTORIA PARK AND TIAG,Security,0,0,S,8596
2023-04-11,32,00:01:00,Tuesday,EGLINTON WEST AND BLAC,Security,14,28,W,1202
2023-05-17,NA,00:01:00,Wednesday,DANFORTH AND MAIN,Investigation,2,4,E,8596
2023-05-21,985,00:01:00,Sunday,SCARBOROUGH CENTRE STA,Cleaning - Unsanitary,20,40,E,3410
2023-06-19,NA,00:01:00,Monday,DAVISVILLE AND YONGE,Collision - TTC,0,0,NA,0
2023-07-13,76,00:01:00,Thursday,ROYAL YORK STATION,Cleaning - Unsanitary,11,22,S,7913
2023-07-14,41,00:01:00,Friday,PIONEER VILLAGE STATIO,Mechanical,20,40,NA,1098
2023-07-15,17,00:01:00,Saturday,WARDEN LOOP,General Delay,22,44,S,3126
2023-07-19,501,00:01:00,Wednesday,QUEEN AND RONCESVALLES,Emergency Services,25,35,W,4436
2023-08-05,52,00:01:00,Saturday,LAWRENCE STATION,Emergency Services,10,20,NA,8905
2023-10-15,39,00:01:00,Sunday,OLD FINCH AND MORNINGS,Mechanical,17,34,E,3276
2023-11-03,95,00:01:00,Friday,ELLESMERE AND MORRISH,Mechanical,10,20,W,3410
2023-11-06,84,00:01:00,Monday,SHEPPARD STATION,Mechanical,10,20,E,3557
2023-11-30,84,00:01:00,Thursday,SHEPPARD-YONGE STATION,Mechanical,10,20,E,3581
2023-02-05,79,00:02:00,Sunday,RUNNYMEDE STATION,Security,0,0,NA,1139
2023-04-05,960,00:02:00,Wednesday,STEELES AND CARPENTER,Mechanical,24,48,W,8135
2023-05-01,35,00:02:00,Monday,PIONEER VILLAGE STATIO,Security,10,20,NA,1005
2023-05-03,36,00:02:00,Wednesday,FINCH AND JAYZEL,Cleaning - Unsanitary,10,20,W,8941
2023-06-02,165,00:02:00,Friday,WILSON AND BELGRAVE AV,Collision - TTC,10,20,E,8930
2023-06-06,86,00:02:00,Tuesday,KINGSTON AND LAWRENCE,Cleaning - Unsanitary,10,20,E,3502
2023-06-08,113,00:02:00,Thursday,GERRARD AND WILLIAM HA,Diversion,71,91,W,8413
2023-06-10,96,00:02:00,Saturday,HUMBER COLLEGE LOOP HU,Emergency Services,10,20,NA,3536
2023-06-20,113,00:02:00,Tuesday,DANFORTH AND KENNEDY,Diversion,128,148,W,8588
2023-07-01,96,00:02:00,Saturday,WILSON STATION,Investigation,0,0,S,8922
2023-07-23,41,00:02:00,Sunday,KEELE AND TORO RD,Diversion,35,60,S,1068
2023-07-30,60,00:02:00,Sunday,FINCH STATION,Mechanical,21,42,S,3561
2023-08-10,165,00:02:00,Thursday,SIGNET AND STEELES,Mechanical,10,20,S,8905
2023-08-18,165,00:02:00,Friday,WILSON STATION,Operations - Operator,10,20,E,8921
2023-09-04,25,00:02:00,Monday,FRESH MEADOW AND DON M,Operations - Operator,30,30,E,0
2023-09-15,62,00:02:00,Friday,WARDEN AND ST CLAIR,Security,20,40,N,8409
2023-09-18,85,00:02:00,Monday,SHEPPARD AND BRIMLEY,Mechanical,20,40,N,3453
2023-09-29,37,00:02:00,Friday,FINCH AND ISLINGTON,Diversion,120,135,NA,3346
2023-10-21,85,00:02:00,Saturday,SHEPPARD AND VICTORIA,General Delay,10,20,N,1247
2023-10-28,40,00:02:00,Saturday,DUNDAS AND RUNNYMEDE,Mechanical,30,60,W,8106
2023-11-18,7,00:02:00,Saturday,GREENWIN VILLAGE AND B,Operations - Operator,7,14,N,7054
2023-12-28,32,00:02:00,Thursday,EGLINTON AND KANE,Emergency Services,15,30,W,7239
2023-01-25,24,00:03:00,Wednesday,VICTORIA PARK AND SHEP,General Delay,10,19,N,8529
2023-03-16,37,00:03:00,Thursday,ISLINGTON AND EGLINTON,Collision - TTC,15,30,N,7974
2023-03-21,63,00:03:00,Tuesday,OSSINGTON AND HARBORD,Diversion,61,71,N,0
2023-04-14,134,00:03:00,Friday,PROGRESS AND HWY 401,Security,24,48,N,3428
2023-04-30,9,00:03:00,Sunday,MCCOWAN STATION,Mechanical,28,56,NA,8513
2023-05-21,34,00:03:00,Sunday,EGLINTON AND VICTORIA,Operations - Operator,0,0,E,8777
2023-06-11,41,00:03:00,Sunday,KEELE STATION,Mechanical,25,50,NA,1056
2023-06-15,116,00:03:00,Thursday,KENNEDY STATION,Mechanical,12,24,NA,3457
2023-06-23,939,00:03:00,Friday,FINCH AND BRIDLETOWN,Diversion,75,85,E,3268
2023-07-02,32,00:03:00,Sunday,RENFORTH STATION,Emergency Services,121,24,E,1025
2023-07-10,90,00:03:00,Monday,ENTIRE ROUTE,General Delay,22,0,NA,0
2023-08-17,17,00:03:00,Thursday,QUEEN AND EMPIRE,Mechanical,5,10,NA,9217
2023-08-29,995,00:03:00,Tuesday,YORKMILLS AND FENSIDE,Collision - TTC,10,20,E,3505
2023-09-21,320,00:03:00,Thursday,YONGE AND EDWARD,Diversion,250,255,B,8640
2023-12-25,512,00:03:00,Monday,ST CLAIR AND AVENUE,Collision - TTC,10,10,W,8786
2023-12-29,32,00:03:00,Friday,RENFORTH STATION,Security,15,30,NA,7287
2023-02-25,52,00:04:00,Saturday,LAWRENCE AND LITTLE,Security,20,40,W,3631
2023-03-31,73,00:04:00,Friday,CLAIREPORT CRESCENT AN,Security,0,0,W,3369
2023-04-15,83,00:04:00,Saturday,DONLANDS STATION,Diversion,30,84,NA,8447
2023-04-29,20,00:04:00,Saturday,KENNEDY STATION,Operations - Operator,30,60,NA,8409
2023-06-12,131,00:04:00,Monday,MCCOWAN AND MILNER,Mechanical,20,40,N,1205
2023-06-16,47,00:04:00,Friday,LANSDOWNE STATION,Security,10,20,N,8376
2023-06-29,76,00:04:00,Thursday,ROYAL YORK AND EVANS,Operations - Operator,11,22,S,8074
2023-07-06,70,00:04:00,Thursday,CRAIGTON AND PHARMACY,Mechanical,12,24,E,8603
2023-07-16,54,00:04:00,Sunday,EGLINTON STATION,Operations - Operator,20,40,E,8690
2023-07-26,54,00:04:00,Wednesday,STARSPRAY LOOP AND LAW,Mechanical,20,40,E,8835
2023-07-28,900,00:04:00,Friday,PEARSON AIRPORT - TERM,Operations - Operator,10,20,E,3333
2023-08-22,12,00:04:00,Tuesday,VICTORIA PARK STATION,Cleaning - Unsanitary,23,46,NA,8593
2023-08-28,123,00:04:00,Monday,SHORNCLIFFE AND DUNDAS,Mechanical,25,50,S,8172
2023-10-04,47,00:04:00,Wednesday,LANSDOWNE STATION,Security,10,20,S,7097
2023-11-16,32,00:04:00,Thursday,EGLINTON STATION,Investigation,10,20,E,7201
2023-12-15,19,00:04:00,Friday,BAY AND BLOOR,Diversion,77,102,N,8561
2023-01-20,76,00:05:00,Friday,ROYAL YORK STATION,Mechanical,9,57,N,8081
2023-01-24,86,00:05:00,Tuesday,KINGSTON AND GALLOWAY,General Delay,10,20,E,3503
2023-02-22,89,00:05:00,Wednesday,WESTON AND HUMBER BLVD,Diversion,40,50,S,0
2023-03-04,73,00:05:00,Saturday,CLAIREPORT AND ALBION,Mechanical,23,46,S,8098
2023-03-09,47,00:05:00,Thursday,CALEDONIA AND BRIDGELA,Mechanical,20,40,N,8153
2023-03-26,39,00:05:00,Sunday,LITTLES AND SEWELLS,Security,20,40,N,3207
2023-04-08,168,00:05:00,Saturday,448 SYMINGTON AVE,Collision - TTC,17,35,S,1130
2023-04-12,53,00:05:00,Wednesday,STEELES AND DON MILLS,Mechanical,20,40,E,3301
2023-04-19,53,00:05:00,Wednesday,STEELES AND EASTVALE,Road Blocked - NON-TTC Collision,113,20,NA,3153
2023-04-26,65,00:05:00,Wednesday,CASTLE FRANK STATION,Emergency Services,15,30,NA,8437
2023-05-04,116,00:05:00,Thursday,MORNINGSIDE AND SHEPPA,Operations - Operator,9,18,S,3650
2023-06-13,86,00:05:00,Tuesday,KENNEDY STATION,Utilized Off Route,10,20,E,3503
2023-06-14,54,00:05:00,Wednesday,LAWRENCE AND SCARBOROU,Emergency Services,20,40,E,8707
2023-06-30,168,00:05:00,Friday,DUNDAS WEST STATION,Cleaning - Unsanitary,17,34,N,1422
2023-07-02,37,00:05:00,Sunday,HUMBERWOODBLVD AND HUL,Mechanical,28,56,N,3349
2023-07-18,47,00:05:00,Tuesday,LANSDOWNE AND DUNDAS,Utilized Off Route,10,20,N,8311
2023-07-24,43,00:05:00,Monday,KENNEDY AND FORBES,Security,10,20,S,3127
2023-09-19,95,00:05:00,Tuesday,RYLANDER AND KINGSTON,Mechanical,10,20,S,1217
2023-10-02,11,00:05:00,Monday,1929 BAYVIEW AV,Cleaning - Unsanitary,25,50,S,8801
2023-11-14,40,00:05:00,Tuesday,KIPLING STATION,General Delay,30,60,E,8115
2023-12-02,600,00:05:00,Saturday,NEVILLE PARK AND QUEEN,Emergency Services,0,0,W,8789
2023-12-20,72,00:05:00,Wednesday,PAPE AND DANFORTH,Mechanical,18,36,N,3722
2023-01-28,38,00:06:00,Saturday,MILITARY TRAIL AND ELL,Emergency Services,13,26,N,1293
2023-03-12,106,00:06:00,Sunday,SHEPPARD WEST STATION,Mechanical,16,32,NA,8205
2023-04-06,85,00:06:00,Thursday,SHEPPARD AND ALLANFORD,Security,0,0,W,3454
2023-04-14,32,00:06:00,Friday,BLACK CREEK AND TRETHE,Diversion,102,116,N,0
2023-04-17,102,00:06:00,Monday,CENTENNIAL COLLEGE,Operations - Operator,17,34,E,3496
