date,route,time,day,location,incident,min_delay,rush_type
2023-01-17,161,07:00:00,Tuesday,ALLIANCE AND JANE,Mechanical,12,morning
2023-01-23,79,07:00:00,Monday,RUNNYMEDE STATION,Operations - Operator,12,morning
2023-01-27,89,07:00:00,Friday,KEELE STATION,Mechanical,8,morning
2023-02-03,52,07:00:00,Friday,LAWRENCE WEST STATION,Mechanical,18,morning
2023-02-03,35,07:00:00,Friday,JANE STATION,Mechanical,9,morning
2023-02-08,937,07:00:00,Wednesday,ISLIINGTON AND POPLAR,Diversion,35,morning
2023-02-10,84,07:00:00,Friday,FENMAR SIGNET,Vision,18,morning
2023-02-17,41,07:00:00,Friday,PIONEER VILLAGE STATIO,Mechanical,8,morning
2023-02-20,NA,07:00:00,Monday,ARROW GARAGE,General Delay,0,morning
2023-02-23,939,07:00:00,Thursday,FINCH STATION,General Delay,8,morning
2023-02-24,45,07:00:00,Friday,KIPLING STATION,Mechanical,20,morning
2023-03-02,984,07:00:00,Thursday,SHEPPARD AND BATHURST,General Delay,15,morning
2023-03-02,99,07:00:00,Thursday,SHEPPARD WEST STATION,General Delay,15,morning
2023-03-06,996,07:00:00,Monday,WILSON STATION,General Delay,20,morning
2023-03-06,96,07:00:00,Monday,HUMBER COLLEGE BUS TER,General Delay,20,morning
2023-03-06,60,07:00:00,Monday,FINCH STATION,Mechanical,8,morning
2023-03-07,960,07:00:00,Tuesday,SIGNAL HILL AND STEELE,Mechanical,6,morning
2023-03-13,102,07:00:00,Monday,WARDEN STATION,Operations - Operator,24,morning
2023-03-23,23,07:00:00,Thursday,MAIN STREET STATION,Mechanical,9,morning
2023-04-04,37,07:00:00,Tuesday,ISLINGTON AND EGLINTON,Collision - TTC,18,morning
2023-04-11,935,07:00:00,Tuesday,JANE STATION,Mechanical,10,morning
2023-04-17,935,07:00:00,Monday,JANE STATION,Utilized Off Route,110,morning
2023-04-17,945,07:00:00,Monday,KIPLING STATION,Utilized Off Route,7,morning
2023-04-18,38,07:00:00,Tuesday,UNIVERSITY OF TORONTO,Mechanical,7,morning
2023-05-17,960,07:00:00,Wednesday,YONGE AND STEELES,General Delay,0,morning
2023-05-18,21,07:00:00,Thursday,BRIMLEY AND LARGO,Mechanical,15,morning
2023-05-19,85,07:00:00,Friday,MARKHAM AND SHEPPARD,Mechanical,18,morning
2023-06-14,160,07:00:00,Wednesday,WILSON AND STEELES,General Delay,10,morning
2023-07-13,939,07:00:00,Thursday,SCARBOROUGH CENTRE STA,Mechanical,9,morning
2023-07-14,52,07:00:00,Friday,DIXON AND MARTIN,Security,9,morning
2023-08-01,996,07:00:00,Tuesday,306 ALBION ROAD,Utilized Off Route,8,morning
2023-08-02,42,07:00:00,Wednesday,BIRCHMOUNT AND MCNICOL,Collision - TTC,10,morning
2023-08-21,925,07:00:00,Monday,FRESHMEADOW AT DON MIL,Mechanical,9,morning
2023-08-24,106,07:00:00,Thursday,PIONEER VILLAGE STATIO,Mechanical,10,morning
2023-09-05,168,07:00:00,Tuesday,ROGERS AND KEELE,Collision - TTC,10,morning
2023-09-07,32,07:00:00,Thursday,RENFORTH STATION,Mechanical,12,morning
2023-09-08,102,07:00:00,Friday,WARDEN AVE AT HYMUS RD,Cleaning - Unsanitary,30,morning
2023-09-11,960,07:00:00,Monday,FINCH STATION,General Delay,36,morning
2023-09-18,24,07:00:00,Monday,VICTORIA PARK AND GORD,Held By,10,morning
2023-09-19,999,07:00:00,Tuesday,YORK MILLS STATION,Operations - Operator,20,morning
2023-09-25,902,07:00:00,Monday,MARKHAM AND NUGGET,Vision,10,morning
2023-09-27,999,07:00:00,Wednesday,MORTIMER AND CARLAW,Mechanical,0,morning
2023-10-03,960,07:00:00,Tuesday,FINCH STATION,General Delay,22,morning
2023-10-11,935,07:00:00,Wednesday,JANE AND WESTON,Utilized Off Route,10,morning
2023-10-17,20,07:00:00,Tuesday,DANFORTH AT BIRCHMOUNT,Vision,20,morning
2023-10-18,80,07:00:00,Wednesday,PARKSIDE AND GRENADIER,Collision - TTC,22,morning
2023-10-30,939,07:00:00,Monday,FINCH AND BALDOON RD,Investigation,8,morning
2023-11-08,925,07:00:00,Wednesday,PAPE STATION,Operations - Operator,10,morning
2023-11-09,51,07:00:00,Thursday,EGLINTON STATION,General Delay,31,morning
