date,line,time,day,location,incident,min_delay,min_gap,bound,vehicle
2023-01-15,501,00:00:00,Sunday,MCCAUL AND QUEEN,Cleaning - Unsanitary,10,20,N,4596
2023-02-05,504,00:00:00,Sunday,BROADVIEW AND QUEEN,Utilized Off Route,10,20,S,4402
2023-02-18,504,00:00:00,Saturday,FLEET LOOP,Cleaning - Unsanitary,10,20,W,4520
2023-03-22,506,00:00:00,Wednesday,COLLEGE AND SPADINA,Operations,33,43,W,4588
2023-05-10,505,00:00:00,Wednesday,DUNDAS AND MANNING,Held By,8,18,E,4552
2023-06-21,504,00:00:00,Wednesday,DUNDAS WEST STATION,General Delay,19,29,W,4441
2023-08-03,505,00:00:00,Thursday,QUEEN AND KINGSTON,Cleaning - Unsanitary,10,20,W,4531
2023-09-03,505,00:00:00,Sunday,DUNDAS AND RONCESVALLE,Cleaning - Unsanitary,10,20,N,4596
2023-10-31,505,00:00:00,Tuesday,DUNDAS WEST STATION,Emergency Services,10,19,NA,4443
2023-11-29,511,00:00:00,Wednesday,BATHURST AND KING,Operations,10,20,S,4549
2023-02-04,510,00:01:00,Saturday,UNION STATION,Security,7,14,S,4592
2023-02-15,505,00:01:00,Wednesday,PARLIAMENT AND GERRARD,Cleaning - Unsanitary,10,20,N,4489
2023-05-31,510,00:01:00,Wednesday,SPADINA AND QUEENS QUA,Held By,5,15,N,4512
2023-12-13,507,00:01:00,Wednesday,QUEEN AND AUGUSTA,Mechanical,10,20,W,4411
2023-12-21,504,00:01:00,Thursday,CHERRY AND EASTERN,Emergency Services,28,38,N,4553
2023-02-08,510,00:02:00,Wednesday,SPADINA STATION,Emergency Services,19,0,W,4467
2023-03-04,501,00:02:00,Saturday,WINDEMERE AND QUEENWAY,Utilized Off Route,10,20,W,3365
2023-05-11,511,00:02:00,Thursday,BATHURST AND DUNDAS,Held By,3,13,N,4506
2023-06-03,511,00:02:00,Saturday,BATHURST AND ADELAIDE,Collision - TTC Involved,0,0,S,3518
2023-07-08,511,00:02:00,Saturday,MANITOBA DR AND STRACH,General Delay,15,25,B,4515
2023-07-28,501,00:02:00,Friday,BROWNS LINE AND LAKESH,Mechanical,10,20,W,8034
2023-08-18,510,00:03:00,Friday,SPADINA AND DUNDAS,Operations,19,29,N,4481
2023-10-18,501,00:03:00,Wednesday,NEVILLE LOOP,Cleaning - Unsanitary,10,20,W,4575
2023-11-08,506,00:03:00,Wednesday,HOWARD PARK AND PARKSI,Security,26,36,NA,4583
