date,time,day,location,code,min_delay,min_gap,bound,line,vehicle
2023-02-07,00:00:00,Tuesday,QUEEN STATION,SUDP,14,19,S,YU,5436
2023-02-14,00:00:00,Tuesday,QUEEN STATION,SUUT,0,0,S,YU,5436
2023-03-04,00:00:00,Saturday,1 TIPPETT ROAD,SUROB,0,0,NA,NA,0
2023-05-30,00:00:00,Tuesday,KIPLING STATION,MUIS,0,0,NA,BD,0
2023-06-25,00:00:00,Sunday,DUNDAS STATION,SUO,0,0,N,YU,0
2023-07-04,00:00:00,Tuesday,ST CLAIR WEST STATION,SUUT,18,25,S,YU,5706
2023-07-07,00:00:00,Friday,VICTORIA PARK STATION,PUMEL,0,0,NA,BD,0
2023-07-10,00:00:00,Monday,BAY STATION,SUDP,5,10,W,BD,5122
2023-07-16,00:00:00,Sunday,CHRISTIE STATION,SUAP,0,0,NA,BD,0
2023-07-29,00:00:00,Saturday,UNION STATION,SUO,0,0,S,YU,6076
2023-08-09,00:00:00,Wednesday,PAPE STATION,MUIRS,0,0,NA,BD,0
2023-08-11,00:00:00,Friday,YONGE BD STATION,MUIRS,0,0,NA,BD,0
2023-08-18,00:00:00,Friday,WARDEN STATION,SUO,11,16,E,BD,5012
2023-09-01,00:00:00,Friday,EGLINTON STATION,PUOPO,3,8,S,YU,5826
2023-09-02,00:00:00,Saturday,OSGOODE STATION,PUOPO,0,0,N,YU,6051
2023-10-02,00:00:00,Monday,PAPE STATION,MUIS,0,0,NA,BD,0
2023-11-20,00:00:00,Monday,SHERBOURNE STATION,SUAP,0,0,NA,BD,0
2023-11-27,00:00:00,Monday,PAPE STATION,MUIS,0,0,NA,BD,0
2023-12-31,00:00:00,Sunday,BROADVIEW STATION,TUO,0,0,W,BD,5250
2023-01-05,00:01:00,Thursday,YORK MILLS STATION,MUIS,0,0,N,YU,5076
2023-01-09,00:01:00,Monday,SUMMERHILL STATION,SUDP,6,11,S,YU,5481
2023-02-01,00:01:00,Wednesday,SHEPPARD-YONGE STATION,MUPAA,0,0,E,SHP,6141
2023-03-03,00:01:00,Friday,GLENCAIRN STATION,PUOPO,5,11,N,YU,5796
2023-03-05,00:01:00,Sunday,DUNDAS STATION,MUIRS,0,0,S,YU,0
2023-03-09,00:01:00,Thursday,LAWRENCE WEST STATION,MUIS,0,0,NA,YU,0
