date,time,day,location,code,min_delay,line,rush_type
2023-01-09,07:00:00,Monday,DUNDAS STATION,MUIS,0,BD,morning
2023-01-09,07:00:00,Monday,WILSON STATION,MUATC,3,YU,morning
2023-01-19,07:00:00,Thursday,BLOOR DANFORTH LINE,TUST,0,BD,morning
2023-02-06,07:00:00,Monday,DUNDAS WEST STATION,TUMVS,0,BD,morning
2023-04-12,07:00:00,Wednesday,GREENWOOD YARD,MUWR,0,BD,morning
2023-05-08,07:00:00,Monday,QUEEN STATION,MUPAA,0,YU,morning
2023-05-16,07:00:00,Tuesday,BROADVIEW STATION,PUTR,7,BD,morning
2023-05-17,07:00:00,Wednesday,KEELE STATION,TUSC,4,BD,morning
2023-11-06,07:00:00,Monday,FINCH STATION TO ST CL,MUO,0,YU,morning
2023-12-21,07:00:00,Thursday,YORKDALE STATION,PUOPO,4,YU,morning
2023-12-27,07:00:00,Wednesday,CASTLE FRANK STATION,SUUT,0,BD,morning
2023-01-23,07:01:00,Monday,EGLINTON STATION,SUAP,0,YU,morning
2023-02-07,07:01:00,Tuesday,DON MILLS STATION,TUMVS,0,SHP,morning
2023-02-21,07:01:00,Tuesday,EGLINTON STATION,PUOPO,0,YU,morning
2023-03-15,07:01:00,Wednesday,EGLINTON STATION,MUIR,3,YU,morning
2023-04-03,07:01:00,Monday,YORKDALE STATION,PUOPO,4,YU,morning
2023-05-05,07:01:00,Friday,YORK MILLS STATION,EUTRD,3,YU,morning
2023-07-20,07:01:00,Thursday,MCCOWAN STATION,MRTO,5,SRT,morning
2023-08-22,07:01:00,Tuesday,QUEEN'S PARK STATION,PUOPO,3,YU,morning
2023-08-23,07:01:00,Wednesday,ROSEDALE STATION,MUATC,3,YU,morning
2023-10-18,07:01:00,Wednesday,KENNEDY BD STATION,MUIS,0,BD,morning
2023-12-01,07:01:00,Friday,DUPONT STATION,PUOPO,3,YU,morning
2023-12-18,07:01:00,Monday,VAUGHAN MC STATION,MUATC,3,YU,morning
2023-02-06,07:02:00,Monday,SPADINA BD STATION,SUDP,0,BD,morning
2023-03-01,07:02:00,Wednesday,BAY STATION,MUI,10,BD,morning
2023-04-04,07:02:00,Tuesday,MAIN STREET STATION,TUSC,0,BD,morning
2023-05-15,07:02:00,Monday,DUFFERIN STATION,SUDP,0,BD,morning
2023-07-14,07:02:00,Friday,DUFFERIN STATION,SUDP,0,BD,morning
2023-09-13,07:02:00,Wednesday,EGLINTON WEST STATION,SUDP,9,YU,morning
2023-11-01,07:02:00,Wednesday,ST CLAIR STATION,SUUT,3,YU,morning
2023-12-07,07:02:00,Thursday,BLOOR STATION,MUIRS,0,YU,morning
2023-01-16,07:03:00,Monday,LAWRENCE WEST STATION,PUOPO,3,YU,morning
2023-01-25,07:03:00,Wednesday,YORK UNIVERSITY STATIO,SUDP,0,YU,morning
2023-03-15,07:03:00,Wednesday,CHESTER STATION,SUDP,0,BD,morning
2023-04-11,07:03:00,Tuesday,BATHURST STATION,TUMVS,0,BD,morning
2023-04-28,07:03:00,Friday,OSSINGTON STATION,SUO,0,BD,morning
2023-06-28,07:03:00,Wednesday,FINCH STATION,EUDO,3,YU,morning
2023-02-03,07:04:00,Friday,YORK MILLS STATION,PUOPO,8,YU,morning
2023-02-21,07:04:00,Tuesday,DAVISVILLE STATION,PUOPO,4,YU,morning
2023-03-23,07:04:00,Thursday,PAPE STATION,SUDP,0,BD,morning
2023-06-09,07:04:00,Friday,VAUGHAN MC STATION,PUOPO,5,YU,morning
2023-06-22,07:04:00,Thursday,SPADINA YUS STATION,MUIS,0,YU,morning
2023-07-12,07:04:00,Wednesday,WILSON STATION,EUME,4,YU,morning
2023-07-13,07:04:00,Thursday,KIPLING STATION,SUO,0,BD,morning
2023-07-31,07:04:00,Monday,KENNEDY BD STATION,MUIS,0,BD,morning
2023-08-08,07:04:00,Tuesday,VAUGHAN MC STATION,EUO,3,YU,morning
2023-08-14,07:04:00,Monday,ISLINGTON STATION,MUSAN,3,BD,morning
2023-08-25,07:04:00,Friday,KEELE STATION,MUSC,0,BD,morning
2023-10-13,07:04:00,Friday,WARDEN STATION,SUAP,0,BD,morning
2023-11-01,07:04:00,Wednesday,BLOOR STATION,SUDP,0,YU,morning
2023-11-02,07:04:00,Thursday,WARDEN STATION,MUIS,0,BD,morning
2023-11-16,07:04:00,Thursday,DUFFERIN STATION,MUD,4,YU,morning
2023-11-30,07:04:00,Thursday,SHEPPARD WEST STATION,MUO,6,YU,morning
2023-12-21,07:04:00,Thursday,QUEEN'S PARK STATION,SUO,0,YU,morning
2023-12-27,07:04:00,Wednesday,KEELE STATION,MUIS,0,BD,morning
2023-12-28,07:04:00,Thursday,CHESTER STATION,TUSC,0,BD,morning
2023-01-23,07:05:00,Monday,JANE STATION,MUPAA,3,BD,morning
2023-03-31,07:05:00,Friday,KIPLING STATION,EUCD,0,BD,morning
2023-04-03,07:05:00,Monday,LAWRENCE EAST STATION,MRO,5,SRT,morning
2023-04-04,07:05:00,Tuesday,DONLANDS STATION,PUTTC,0,BD,morning
2023-04-10,07:05:00,Monday,OSGOODE STATION,PUOPO,0,YU,morning
2023-04-19,07:05:00,Wednesday,BROADVIEW STATION,SUDP,5,BD,morning
2023-05-05,07:05:00,Friday,COXWELL STATION,MUIS,0,BD,morning
2023-05-24,07:05:00,Wednesday,LAWRENCE EAST STATION,ERTC,15,SRT,morning
2023-06-21,07:05:00,Wednesday,KENNEDY BD STATION,MUPAA,3,BD,morning
2023-07-13,07:05:00,Thursday,DUPONT STATION,PUMO,0,YU,morning
2023-08-01,07:05:00,Tuesday,WILSON STATION,MUATC,5,YU,morning
2023-09-15,07:05:00,Friday,YORK MILLS STATION,SUEAS,28,YU,morning
2023-10-13,07:05:00,Friday,PIONEER VILLAGE STATIO,MUIS,5,YU,morning
2023-11-28,07:05:00,Tuesday,FINCH STATION,PUOPO,0,YU,morning
2023-12-07,07:05:00,Thursday,FINCH STATION,TUO,4,YU,morning
2023-01-24,07:06:00,Tuesday,YORK MILLS STATION,MUPAA,4,YU,morning
2023-02-20,07:06:00,Monday,WARDEN STATION,MUIS,0,BD,morning
2023-02-22,07:06:00,Wednesday,FINCH STATION,PUOPO,0,YU,morning
2023-03-23,07:06:00,Thursday,OLD MILL STATION,EUSC,0,BD,morning
2023-07-05,07:06:00,Wednesday,FINCH STATION,EUO,10,YU,morning
2023-10-13,07:06:00,Friday,DUNDAS WEST STATION,PUMO,0,BD,morning
2023-10-20,07:06:00,Friday,WILSON STATION,PUOPO,10,YU,morning
2023-11-14,07:06:00,Tuesday,UNION STATION,MUSAN,3,YU,morning
2023-11-29,07:06:00,Wednesday,BLOOR STATION,SUDP,3,YU,morning
2023-12-18,07:06:00,Monday,ROYAL YORK STATION,EUSC,0,BD,morning
2023-12-29,07:06:00,Friday,ISLINGTON STATION,TUSC,0,BD,morning
2023-01-04,07:07:00,Wednesday,ISLINGTON STATION,MUDD,6,BD,morning
2023-02-16,07:07:00,Thursday,SPADINA YUS STATION,MUIS,0,YU,morning
2023-02-22,07:07:00,Wednesday,ROSEDALE STATION,PUOPO,0,YU,morning
2023-03-10,07:07:00,Friday,DON MILLS STATION,SUDP,0,SHP,morning
2023-03-15,07:07:00,Wednesday,LAWRENCE STATION,TUO,5,YU,morning
2023-05-03,07:07:00,Wednesday,YONGE BD STATION,SUDP,0,BD,morning
2023-05-09,07:07:00,Tuesday,DAVISVILLE STATION,PUOPO,0,YU,morning
2023-05-24,07:07:00,Wednesday,VICTORIA PARK STATION,SUUT,0,BD,morning
2023-08-28,07:07:00,Monday,KEELE STATION,PUTD,4,BD,morning
2023-10-03,07:07:00,Tuesday,SPADINA YUS STATION,MUIS,0,YU,morning
2023-10-03,07:07:00,Tuesday,FINCH STATION,MUTO,3,YU,morning
2023-10-30,07:07:00,Monday,DUNDAS WEST STATION,EUSC,0,BD,morning
2023-10-31,07:07:00,Tuesday,KIPLING STATION,MUPAA,0,BD,morning
2023-12-06,07:07:00,Wednesday,COLLEGE STATION,SUDP,0,YU,morning
2023-01-13,07:08:00,Friday,GREENWOOD STATION,EUNT,5,BD,morning
2023-01-16,07:08:00,Monday,KIPLING STATION,MUIRS,0,BD,morning
2023-01-19,07:08:00,Thursday,MCCOWAN STATION TO KEN,MRWEA,0,SRT,morning
2023-03-29,07:08:00,Wednesday,COLLEGE STATION,SUO,0,YU,morning
2023-04-24,07:08:00,Monday,JANE STATION,EUSC,0,BD,morning
2023-05-04,07:08:00,Thursday,KEELE STATION,EUO,3,BD,morning
2023-06-06,07:08:00,Tuesday,ROSEDALE STATION,PUOPO,0,YU,morning
2023-06-06,07:08:00,Tuesday,ISLINGTON STATION,MUSC,0,BD,morning
2023-09-11,07:08:00,Monday,WILSON STATION,SUDP,0,YU,morning
2023-11-21,07:08:00,Tuesday,YONGE BD STATION,SUDP,0,BD,morning
2023-11-28,07:08:00,Tuesday,NORTH YORK CTR STATION,PUOPO,3,YU,morning
2023-02-13,07:09:00,Monday,FINCH STATION,PUOPO,0,YU,morning
2023-02-14,07:09:00,Tuesday,GREENWOOD STATION,MUSC,0,BD,morning
2023-04-12,07:09:00,Wednesday,OSGOODE STATION,PUOPO,0,YU,morning
2023-05-11,07:09:00,Thursday,ST GEORGE BD STATION,PUSTC,3,BD,morning
2023-07-27,07:09:00,Thursday,BLOOR STATION,SUUT,0,YU,morning
2023-10-11,07:09:00,Wednesday,KIPLING STATION,MUIS,0,BD,morning
2023-11-08,07:09:00,Wednesday,COXWELL STATION,MUSC,0,BD,morning
2023-11-27,07:09:00,Monday,SPADINA BD STATION,MUIS,0,BD,morning
2023-12-06,07:09:00,Wednesday,CHRISTIE STATION,MUIRS,0,BD,morning
2023-01-06,07:10:00,Friday,FINCH STATION,EUBK,3,YU,morning
2023-01-27,07:10:00,Friday,FINCH STATION,MUATC,3,YU,morning
2023-02-22,07:10:00,Wednesday,NORTH YORK CTR STATION,PUOPO,3,YU,morning
2023-03-01,07:10:00,Wednesday,GLENCAIRN STATION,SUDP,0,YU,morning
2023-03-24,07:10:00,Friday,BLOOR STATION,PUOPO,0,YU,morning
2023-03-28,07:10:00,Tuesday,DUNDAS WEST STATION,SUAP,0,BD,morning
2023-04-07,07:10:00,Friday,ROYAL YORK STATION,MUPAA,0,BD,morning
2023-05-26,07:10:00,Friday,MCCOWAN STATION,MRSAN,5,SRT,morning
2023-06-30,07:10:00,Friday,KENNEDY BD STATION,MUTO,3,BD,morning
2023-09-07,07:10:00,Thursday,FINCH WEST STATION,MUIRS,0,YU,morning
2023-11-03,07:10:00,Friday,ISLINGTON STATION,TUSC,0,BD,morning
2023-12-08,07:10:00,Friday,FINCH STATION,MUIR,3,YU,morning
2023-02-03,07:11:00,Friday,KENNEDY SRT STATION (D,PRSA,26,SRT,morning
2023-05-10,07:11:00,Wednesday,COXWELL STATION,MUIS,0,BD,morning
2023-06-09,07:11:00,Friday,HIGHWAY 407 STATION,PUOPO,4,YU,morning
2023-06-23,07:11:00,Friday,SHEPPARD WEST STATION,MUIRS,0,YU,morning
2023-06-28,07:11:00,Wednesday,SCARBOROUGH CTR STATIO,ERWA,0,SRT,morning
2023-07-12,07:11:00,Wednesday,LAWRENCE WEST STATION,EUCD,4,YU,morning
2023-08-21,07:11:00,Monday,SHEPPARD-YONGE STATION,PUSTS,0,SHP,morning
2023-08-25,07:11:00,Friday,OLD MILL STATION,PUSCR,5,BD,morning
2023-11-09,07:11:00,Thursday,SPADINA BD STATION,SUO,0,BD,morning
2023-11-23,07:11:00,Thursday,OSGOODE STATION,PUOPO,0,YU,morning
2023-03-01,07:12:00,Wednesday,KEELE STATION,PUSTS,6,BD,morning
2023-05-09,07:12:00,Tuesday,ST CLAIR STATION,PUOPO,4,YU,morning
2023-07-14,07:12:00,Friday,WELLESLEY STATION,SUDP,6,YU,morning
2023-07-20,07:12:00,Thursday,KIPLING STATION,MUSAN,4,BD,morning
2023-08-04,07:12:00,Friday,QUEEN'S PARK STATION,PUOPO,4,YU,morning
2023-08-15,07:12:00,Tuesday,ISLINGTON STATION,MUSC,0,BD,morning
2023-08-17,07:12:00,Thursday,WILSON STATION,SUO,0,YU,morning
2023-08-22,07:12:00,Tuesday,SHEPPARD WEST STATION,MUIS,0,YU,morning
2023-09-12,07:12:00,Tuesday,ROYAL YORK STATION,MUSC,0,BD,morning
2023-09-20,07:12:00,Wednesday,QUEEN STATION,PUSCR,3,YU,morning
2023-10-16,07:12:00,Monday,GREENWOOD STATION,TUSUP,3,BD,morning
2023-10-18,07:12:00,Wednesday,QUEEN'S PARK STATION,MUIR,8,YU,morning
2023-10-31,07:12:00,Tuesday,FINCH STATION,PUOPO,0,YU,morning
2023-11-20,07:12:00,Monday,WELLESLEY STATION,SUDP,0,YU,morning
2023-12-01,07:12:00,Friday,DUPONT STATION,PUOPO,5,YU,morning
2023-02-07,07:13:00,Tuesday,OSSINGTON STATION,SUDP,0,BD,morning
2023-02-13,07:13:00,Monday,NORTH YORK CTR STATION,PUOPO,5,YU,morning
2023-02-17,07:13:00,Friday,ST PATRICK STATION,PUOPO,0,YU,morning
2023-04-03,07:13:00,Monday,GREENWOOD STATION,EUSC,3,BD,morning
2023-04-04,07:13:00,Tuesday,OSGOODE STATION,PUOPO,0,YU,morning
2023-04-05,07:13:00,Wednesday,RUNNYMEDE STATION,PUSRA,3,BD,morning
2023-04-18,07:13:00,Tuesday,ISLINGTON STATION,MUSC,0,BD,morning
2023-05-18,07:13:00,Thursday,MIDLAND STATION,MRO,3,SRT,morning
2023-07-24,07:13:00,Monday,ROSEDALE STATION,MUPAA,0,YU,morning
2023-07-28,07:13:00,Friday,CASTLE FRANK STATION,MUO,0,BD,morning
2023-08-16,07:13:00,Wednesday,GREENWOOD STATION,SUG,3,BD,morning
2023-09-22,07:13:00,Friday,WELLESLEY STATION,MUSAN,3,YU,morning
2023-10-12,07:13:00,Thursday,DUNDAS WEST STATION,SUDP,0,BD,morning
2023-10-17,07:13:00,Tuesday,ISLINGTON STATION,TUO,0,BD,morning
