Report Date,Route,Time,Day,Location,Incident,Delay,Gap,Direction,Vehicle
2020-01-01T00:00:00Z,94,1899-12-31T00:01:00Z,Wednesday,Ossington station and Castle Frank Station,General Delay,10,20,B/W,NA
2020-01-01T00:00:00Z,320,1899-12-31T01:31:00Z,Wednesday,Yonge @ Queen,Diversion,1,1,B/W,NA
2020-01-01T00:00:00Z,29,1899-12-31T01:37:00Z,Wednesday,Dufferin loop,Mechanical,8,14,N/B,9028
2020-01-01T00:00:00Z,102,1899-12-31T01:40:00Z,Wednesday,Warden station,Mechanical,11,22,N/B,8504
2020-01-01T00:00:00Z,68,1899-12-31T01:42:00Z,Wednesday,Warden Station,Mechanical,8,23,N/B,8721
2020-01-01T00:00:00Z,53,1899-12-31T01:46:00Z,Wednesday,Markham and Steeles,Mechanical,18,36,W/B,3436
2020-01-01T00:00:00Z,76,1899-12-31T03:10:00Z,Wednesday,Mimico,Mechanical,30,60,W/B,7966
2020-01-01T00:00:00Z,76,1899-12-31T03:12:00Z,Wednesday,Mimico / Lakeshore,Mechanical,30,60,N/B,7966
2020-01-01T00:00:00Z,89,1899-12-31T03:12:00Z,Wednesday,Weston/Cordella,Mechanical,20,40,W/B,1111
2020-01-01T00:00:00Z,300,1899-12-31T04:15:00Z,Wednesday,Danforth and Vic Park,Investigation,30,60,E/B,8003
2020-01-01T00:00:00Z,300,1899-12-31T05:30:00Z,Wednesday,Between Pearson Airport and Kenndy Stn,General Delay,25,31,B/W,NA
2020-01-01T00:00:00Z,384,1899-12-31T06:46:00Z,Wednesday,Oakdale road and Sheppard,Investigation,30,60,E/B,3264
2020-01-01T00:00:00Z,320,1899-12-31T07:15:00Z,Wednesday,YONGE & ST. CLAIR,Mechanical,12,24,N/B,8179
2020-01-01T00:00:00Z,320,1899-12-31T07:25:00Z,Wednesday,YONGE & STEELS,Mechanical,12,24,N/B,9045
2020-01-01T00:00:00Z,72,1899-12-31T07:50:00Z,Wednesday,FRONT ST. & BAY,Mechanical,18,36,N/B,8409
