Report Date,Route,Time,Day,Location,Incident,Delay,Gap,Direction,Vehicle
2020-01-01T00:00:00Z,504,1899-12-31T01:23:00Z,Wednesday,King and Dufferin,Mechanical,8,16,E/B,4446
2020-01-01T00:00:00Z,512,1899-12-31T04:40:00Z,Wednesday,Queen/Parliament,Mechanical,23,46,W/B,4541
2020-01-01T00:00:00Z,504,1899-12-31T06:17:00Z,Wednesday,Roncesvalles and Queen,Mechanical,6,14,W/B,4576
2020-01-01T00:00:00Z,504,1899-12-31T07:50:00Z,Wednesday,King/Church,Mechanical,10,20,W/B,4486
2020-01-01T00:00:00Z,504,1899-12-31T08:09:00Z,Wednesday,Queeen/ Roncesvalles,Mechanical,8,16,E/B,4504
2020-01-01T00:00:00Z,506,1899-12-31T08:13:00Z,Wednesday,Main Station,Investigation,8,16,E/B,4587
2020-01-01T00:00:00Z,504,1899-12-31T08:22:00Z,Wednesday,King/York,Investigation,10,20,W/B,4431
2020-01-01T00:00:00Z,504,1899-12-31T08:36:00Z,Wednesday,Broadview/Queen,Mechanical,8,16,S/B,4462
2020-01-01T00:00:00Z,501,1899-12-31T11:25:00Z,Wednesday,Queen And Roncy,Mechanical,5,10,W/B,4489
2020-01-01T00:00:00Z,504,1899-12-31T12:18:00Z,Wednesday,Dundas West Station,Mechanical,9,18,E/B,4504
2020-01-01T00:00:00Z,505,1899-12-31T13:01:00Z,Wednesday,Broadview Station,Mechanical,5,10,W/B,1555
2020-01-01T00:00:00Z,510,1899-12-31T13:44:00Z,Wednesday,Queens Quay Loop,Emergency Services,5,10,S/B,4425
2020-01-01T00:00:00Z,501,1899-12-31T16:24:00Z,Wednesday,Royal and Lakeshore,Held By,12,22,W/B,4583
2020-01-01T00:00:00Z,501,1899-12-31T18:55:00Z,Wednesday,Humber loop,Mechanical,10,20,W/B,4508
2020-01-01T00:00:00Z,501,1899-12-31T20:03:00Z,Wednesday,Humber loop,Investigation,10,20,W/B,4429
2020-01-01T00:00:00Z,505,1899-12-31T21:20:00Z,Wednesday,dundas and church,Investigation,8,16,W/B,3145
2020-01-01T00:00:00Z,504,1899-12-31T23:23:00Z,Wednesday,DUNDAS WEST STN,Emergency Services,10,20,S/B,4483
2020-01-02T00:00:00Z,301,1899-12-31T01:30:00Z,Thursday,long branch loop,Mechanical,5,10,E/B,4463
2020-01-02T00:00:00Z,504,1899-12-31T05:24:00Z,Thursday,DW Stn,Mechanical,13,26,E/B,4539
2020-01-02T00:00:00Z,501,1899-12-31T05:47:00Z,Thursday,Roncesvalles and Queen,Investigation,7,14,W/B,4416
2020-01-02T00:00:00Z,504,1899-12-31T08:10:00Z,Thursday,King/Spadina,Mechanical,5,10,W/B,4567
2020-01-02T00:00:00Z,510,1899-12-31T08:30:00Z,Thursday,Charlotte Loop,Mechanical,4,8,S/B,4445
2020-01-02T00:00:00Z,510,1899-12-31T09:30:00Z,Thursday,King and Spadina,Mechanical,4,8,N/B,4445
2020-01-02T00:00:00Z,504,1899-12-31T12:52:00Z,Thursday,Dufferin Loop,Mechanical,3,11,E/B,4539
2020-01-02T00:00:00Z,504,1899-12-31T14:26:00Z,Thursday,King and Atlantic,Investigation,8,16,W/B,4539
2020-01-02T00:00:00Z,504,1899-12-31T15:47:00Z,Thursday,King and  Sherbourne,Investigation,17,24,E/B,4430
2020-01-02T00:00:00Z,504,1899-12-31T16:23:00Z,Thursday,Queen and Broadview,Mechanical,0,0,E/B,4578
2020-01-02T00:00:00Z,504,1899-12-31T16:45:00Z,Thursday,Dufferin Gate,Mechanical,6,12,E/B,4583
2020-01-02T00:00:00Z,511,1899-12-31T17:05:00Z,Thursday,Bathurst Station,Mechanical,4,10,S/B,4550
2020-01-02T00:00:00Z,504,1899-12-31T17:09:00Z,Thursday,King and Sackville,Mechanical,6,12,W/B,4548
2020-01-02T00:00:00Z,504,1899-12-31T17:19:00Z,Thursday,Roncy and Queen,Investigation,7,14,E/B,4534
2020-01-02T00:00:00Z,504,1899-12-31T19:04:00Z,Thursday,King and Spadian,Mechanical,2,8,W/B,4578
2020-01-02T00:00:00Z,504,1899-12-31T19:12:00Z,Thursday,King and Sumach,Investigation,28,35,W/B,4567
2020-01-02T00:00:00Z,506,1899-12-31T19:38:00Z,Thursday,Gerrard and Marjorie,Mechanical,6,12,W/B,4531
2020-01-02T00:00:00Z,506,1899-12-31T21:50:00Z,Thursday,Spadina to Parliament,General Delay,20,28,B/W,NA
2020-01-03T00:00:00Z,501,1899-12-31T02:26:00Z,Friday,long branch loop,Mechanical,7,14,E/B,4444
2020-01-03T00:00:00Z,504,1899-12-31T08:03:00Z,Friday,King/John,Mechanical,1,1,W/B,4431
2020-01-03T00:00:00Z,505,1899-12-31T08:08:00Z,Friday,Broadview Station,Mechanical,4,8,W/B,8540
2020-01-03T00:00:00Z,505,1899-12-31T08:40:00Z,Friday,Dundas West Station,Investigation,4,8,W/B,1027
2020-01-03T00:00:00Z,504,1899-12-31T11:12:00Z,Friday,Dufferin loop,Emergency Services,7,14,E/B,4557
2020-01-03T00:00:00Z,505,1899-12-31T11:14:00Z,Friday,Yonge and Dundas,Investigation,4,8,W/B,1078
2020-01-03T00:00:00Z,501,1899-12-31T11:26:00Z,Friday,Queen/Lee,Investigation,26,34,E/B,4476
2020-01-03T00:00:00Z,506,1899-12-31T11:31:00Z,Friday,bathurst station,Mechanical,8,16,S/B,8764
2020-01-03T00:00:00Z,501,1899-12-31T11:40:00Z,Friday,Neville Loop,Investigation,10,20,W/B,4470
2020-01-03T00:00:00Z,505,1899-12-31T11:50:00Z,Friday,dundas and dufferin,Investigation,8,16,E/B,3101
2020-01-03T00:00:00Z,505,1899-12-31T13:42:00Z,Friday,Dundas / Sorauren,Investigation,4,8,E/B,1015
2020-01-03T00:00:00Z,506,1899-12-31T13:44:00Z,Friday,College and Rusholme,Emergency Services,16,24,E/B,4443
2020-01-03T00:00:00Z,506,1899-12-31T14:04:00Z,Friday,Gerrard and Coxwell,Mechanical,1,2,E/B,4497
2020-01-03T00:00:00Z,512,1899-12-31T14:55:00Z,Friday,Lansdowne loop,Emergency Services,5,10,E/B,4564
2020-01-03T00:00:00Z,504,1899-12-31T15:08:00Z,Friday,King and Ontario,Mechanical,6,12,W/B,4490
2020-01-03T00:00:00Z,505,1899-12-31T16:37:00Z,Friday,Dundas / Dufferin,Mechanical,3,7,E/B,8594
2020-01-03T00:00:00Z,503,1899-12-31T17:30:00Z,Friday,Kingston Rd / Woodbine,Investigation,7,15,E/B,3171
2020-01-03T00:00:00Z,503,1899-12-31T18:35:00Z,Friday,Queen / Broadview,Mechanical,8,14,W/B,8513
2020-01-03T00:00:00Z,505,1899-12-31T21:00:00Z,Friday,Dundas West Station,Emergency Services,4,9,E/B,1078
2020-01-04T00:00:00Z,506,1899-12-31T00:37:00Z,Saturday,MAIN ST STN,Mechanical,10,20,W/B,4498
2020-01-04T00:00:00Z,504,1899-12-31T02:32:00Z,Saturday,king and brant,Held By,15,30,W/B,4477
2020-01-04T00:00:00Z,310,1899-12-31T05:08:00Z,Saturday,Spadina and Willcocks,Mechanical,15,30,S/B,4463
2020-01-04T00:00:00Z,511,1899-12-31T06:57:00Z,Saturday,Bathurst and Front,Held By,12,19,S/B,4500
2020-01-04T00:00:00Z,506,1899-12-31T08:33:00Z,Saturday,Coxwell and Gerrard,Late Leaving Garage,6,12,E/B,4413
2020-01-04T00:00:00Z,506,1899-12-31T08:36:00Z,Saturday,Connaught and Queen,Mechanical,1,2,E/B,4413
2020-01-04T00:00:00Z,505,1899-12-31T10:21:00Z,Saturday,Dundas and Yonge,Mechanical,5,10,E/B,1075
2020-01-04T00:00:00Z,505,1899-12-31T11:51:00Z,Saturday,Dundas and George St.,Investigation,5,10,E/B,1115
2020-01-04T00:00:00Z,504,1899-12-31T12:38:00Z,Saturday,Broadview and Queen,Late Leaving Garage,3,8,W/B,4590
2020-01-04T00:00:00Z,504,1899-12-31T12:41:00Z,Saturday,Distillery Loop,Late Leaving Garage,5,11,W/B,4409
2020-01-04T00:00:00Z,511,1899-12-31T13:09:00Z,Saturday,Exhibition Loop,Mechanical,5,10,N/B,4500
2020-01-04T00:00:00Z,501,1899-12-31T14:21:00Z,Saturday,Queen / John,Emergency Services,7,16,W/B,4534
2020-01-04T00:00:00Z,512,1899-12-31T16:36:00Z,Saturday,St. Clair and Old Weston Rd.,Held By,29,34,W/B,4535
2020-01-04T00:00:00Z,504,1899-12-31T17:05:00Z,Saturday,Broadview Station,Mechanical,7,13,W/B,4544
2020-01-04T00:00:00Z,506,1899-12-31T19:05:00Z,Saturday,College and Spadina,Investigation,9,18,W/B,4447
2020-01-04T00:00:00Z,512,1899-12-31T20:01:00Z,Saturday,St. Clair and Landsdowne,Mechanical,7,14,W/B,4428
2020-01-04T00:00:00Z,504,1899-12-31T20:07:00Z,Saturday,Charlotte Loop,Utilized Off Route,9,18,W/B,4473
2020-01-04T00:00:00Z,501,1899-12-31T20:10:00Z,Saturday,Queensway / Ellis,Investigation,8,15,W/B,4448
2020-01-04T00:00:00Z,705,1899-12-31T22:06:00Z,Saturday,distillery loop,Investigation,1,1,N/B,4475
2020-01-05T00:00:00Z,510,1899-12-31T00:26:00Z,Sunday,spadina and queens quay,Mechanical,10,20,N/B,4557
2020-01-05T00:00:00Z,510,1899-12-31T01:04:00Z,Sunday,spadina and quuens quay,Mechanical,9,15,N/B,4562
2020-01-05T00:00:00Z,301,1899-12-31T04:21:00Z,Sunday,E/B Trailer Track Russell Yard,Investigation,1,1,E/B,4446
2020-01-05T00:00:00Z,511,1899-12-31T09:40:00Z,Sunday,CNE loop,Mechanical,8,16,E/B,4554
2020-01-05T00:00:00Z,501,1899-12-31T09:52:00Z,Sunday,Queen and Pape,Mechanical,8,18,E/B,4550
2020-01-05T00:00:00Z,505,1899-12-31T10:00:00Z,Sunday,Broadview station,Mechanical,6,12,E/B,1070
2020-01-05T00:00:00Z,501,1899-12-31T10:20:00Z,Sunday,Humber Loop,Investigation,1,1,E/B,4468
2020-01-05T00:00:00Z,501,1899-12-31T10:39:00Z,Sunday,Queen ad Strachan,Investigation,7,17,E/B,4575
2020-01-05T00:00:00Z,301,1899-12-31T12:54:00Z,Sunday,Neville Park,Mechanical,10,20,W/B,4531
2020-01-05T00:00:00Z,510,1899-12-31T15:16:00Z,Sunday,Dundas Street,Mechanical,35,38,S/B,4476
2020-01-05T00:00:00Z,505,1899-12-31T16:06:00Z,Sunday,Broadview Station,Mechanical,5,10,W/B,9208
2020-01-05T00:00:00Z,501,1899-12-31T19:55:00Z,Sunday,The Queensway and Parkside,Held By,89,94,E/B,4523
2020-01-05T00:00:00Z,505,1899-12-31T20:00:00Z,Sunday,DWS,Utilized Off Route,8,16,E/B,1054
2020-01-05T00:00:00Z,504,1899-12-31T23:31:00Z,Sunday,DUFFERIN LOOP,Mechanical,3,10,N/B,4551
2020-01-06T00:00:00Z,505,1899-12-31T00:10:00Z,Monday,Dundas West Station,Investigation,7,14,E/B,1418
2020-01-06T00:00:00Z,505,1899-12-31T05:59:00Z,Monday,Mount Dennis Garage,Late Leaving Garage,4,9,E/B,1411
2020-01-06T00:00:00Z,510,1899-12-31T08:07:00Z,Monday,Spadina and King,Mechanical,4,8,S/B,4566
2020-01-06T00:00:00Z,505,1899-12-31T08:33:00Z,Monday,NA,General Delay,4,7,B/W,NA
2020-01-06T00:00:00Z,504,1899-12-31T09:56:00Z,Monday,King and River,Mechanical,4,8,E/B,4536
2020-01-06T00:00:00Z,504,1899-12-31T10:04:00Z,Monday,Dufferin and Liberty Street,Held By,24,32,N/B,4494
2020-01-06T00:00:00Z,505,1899-12-31T13:00:00Z,Monday,Dundas and Rushholme,Emergency Services,4,8,W/B,1104
2020-01-06T00:00:00Z,505,1899-12-31T16:07:00Z,Monday,Dundas and sherdian,Held By,102,106,W/B,8545
2020-01-06T00:00:00Z,505,1899-12-31T16:16:00Z,Monday,Broadview station,Mechanical,4,8,E/B,3125
2020-01-06T00:00:00Z,506,1899-12-31T16:48:00Z,Monday,High Park Loop,Mechanical,9,18,E/B,4579
2020-01-06T00:00:00Z,306,1899-12-31T18:14:00Z,Monday,Gerrard and Coxwell,Investigation,0,0,E/B,4469
2020-01-06T00:00:00Z,506,1899-12-31T18:41:00Z,Monday,Gerrard and Leslie,Mechanical,1,2,W/B,4409
2020-01-06T00:00:00Z,503,1899-12-31T18:59:00Z,Monday,King and York,Emergency Services,8,16,W/B,9227
2020-01-06T00:00:00Z,505,1899-12-31T20:57:00Z,Monday,Dundas west station,Emergency Services,5,10,E/B,1020
2020-01-06T00:00:00Z,506,1899-12-31T21:33:00Z,Monday,Gerrard and Broadview,Mechanical,1,2,E/B,4544
2020-01-06T00:00:00Z,506,1899-12-31T23:17:00Z,Monday,High Park Loop,Mechanical,6,12,W/B,4544
2020-01-07T00:00:00Z,501,1899-12-31T04:45:00Z,Tuesday,Russell,Mechanical,7,14,B/W,4486
2020-01-07T00:00:00Z,501,1899-12-31T05:05:00Z,Tuesday,Humber Loop,Investigation,7,14,E/B,4456
2020-01-07T00:00:00Z,510,1899-12-31T05:18:00Z,Tuesday,College and Spadina,Held By,18,33,S/B,4428
2020-01-07T00:00:00Z,306,1899-12-31T05:19:00Z,Tuesday,College and Spadina,Held By,17,0,W/B,4577
2020-01-07T00:00:00Z,506,1899-12-31T05:20:00Z,Tuesday,College and Spadina,Held By,16,0,W/B,4596
2020-01-07T00:00:00Z,512,1899-12-31T07:21:00Z,Tuesday,St Clair Station,Mechanical,4,8,W/B,4519
2020-01-07T00:00:00Z,501,1899-12-31T08:13:00Z,Tuesday,Parkside / Queensway,Investigation,27,34,W/B,4542
2020-01-07T00:00:00Z,505,1899-12-31T08:49:00Z,Tuesday,Dundas West Station,General Delay,3,4,B/W,8572
2020-01-07T00:00:00Z,504,1899-12-31T10:06:00Z,Tuesday,Roncesvalles and Grenadier Rd.,Investigation,16,23,N/B,4494
2020-01-07T00:00:00Z,504,1899-12-31T13:13:00Z,Tuesday,King/Bay,General Delay,41,49,B/W,4440
2020-01-07T00:00:00Z,505,1899-12-31T13:29:00Z,Tuesday,Dundas and Jarvis,General Delay,27,32,B/W,1549
